,sample,correlation,p_value
0,ACR-139-TP1,0.026260380800753557,0.6800697895975215
1,ACR-139-TP2,0.054105051197375874,0.39527489515687536
2,ACR-139-TP3,0.0564581896174779,0.37501413779092607
3,ACR-139-TP4,0.04256487053826793,0.5037597309366603
4,ACR-145-TP1,-0.06469015004308568,0.3092855245845756
5,ACR-145-TP2,-0.06103218642065547,0.3374982017930634
6,ACR-145-TP3,-0.0573633995452833,0.3673932042033611
7,ACR-145-TP4,-0.06155190887889992,0.33339254425445775
8,ACR-150-TP1,-0.002978520921054495,0.9627014180003783
9,ACR-150-TP2,0.06314173157728468,0.3210332170141461
10,ACR-150-TP3,0.020765229137223437,0.7443818269559856
11,ACR-150-TP4,0.10550876660270046,0.09668078150599795
12,ACR-173-TP1,0.09431643627515114,0.13777978307500857
13,ACR-173-TP2,0.1580796760594061,0.01250273848658335
14,ACR-173-TP3,0.07449438850606609,0.24151240613439628
15,ACR-173-TP4,0.08355254652191403,0.18881193235806437
16,ACR-186-TP1,-0.06027151820347914,0.34356521777475896
17,ACR-186-TP2,-0.04532564259373462,0.47646862708675647
18,ACR-186-TP3,-0.039894100713370816,0.5309213074752425
19,ACR-186-TP4,-0.048667026811033624,0.444544453349598
20,ACR-225-TP1,0.036581303597951094,0.5656084915734984
21,ACR-225-TP2,-0.05963106704293702,0.3487267337111851
22,ACR-225-TP3,0.02476610324346076,0.697353249788715
23,ACR-225-TP4,0.005404074649627261,0.9323835046646236
24,ACR-229-TP1,-0.020159991075945977,0.7515844851872252
25,ACR-229-TP2,-0.02672909419106814,0.6746821716466386
26,ACR-229-TP3,-0.04946492140597597,0.4371046934342199
27,ACR-229-TP4,0.018713383217133377,0.768886194311136
28,ACR-237-TP1,0.0686613342480285,0.2804628630986443
29,ACR-237-TP2,0.12935474791355328,0.04140122278109269
30,ACR-237-TP3,0.09337608706925406,0.14176561474587143
31,ACR-237-TP4,0.038015558757127206,0.5504587255959843
32,ACR-244-TP1,0.16391409478368724,0.009568235193434136
33,ACR-244-TP2,0.05309201825444542,0.4041959254371203
34,ACR-244-TP3,0.029432153412733926,0.643941624415034
35,ACR-244-TP4,0.1591202568642636,0.011927543339231149
36,ACR-265-TP1,-0.06919975212549698,0.2766994181275496
37,ACR-265-TP2,-0.0547898563957519,0.38931188877199857
38,ACR-265-TP3,-0.05850382355578803,0.35792963401946803
39,ACR-265-TP4,-0.05636001611553569,0.37584645374467623
