,sample,correlation,p_value
0,ACR-139-TP1,0.08301875623815347,0.5624705846159697
1,ACR-139-TP2,0.1019479527435027,0.47654981129803153
2,ACR-139-TP3,0.09813209295366913,0.49328970107738623
3,ACR-139-TP4,0.13953198920507243,0.3287958100723575
4,ACR-145-TP1,0.1555539973650537,0.27571790784320316
5,ACR-145-TP2,0.7340338245117959,8.852186077537462e-10
6,ACR-145-TP3,0.12229489224069197,0.3925931488883892
7,ACR-145-TP4,0.166858722435363,0.24188250090626706
8,ACR-150-TP1,0.22142700819668484,0.11839242684873394
9,ACR-150-TP2,0.21074655418694513,0.13768986805504096
10,ACR-150-TP3,0.37699084908182295,0.006392798545289906
11,ACR-150-TP4,0.22731918891558414,0.10866590209720856
12,ACR-173-TP1,0.24406323892308673,0.08435504067926677
13,ACR-173-TP2,0.45645673158370303,0.0007608506460957969
14,ACR-173-TP3,0.011106040497869252,0.9383458587584167
15,ACR-173-TP4,0.29432321167341846,0.03604105698999179
16,ACR-186-TP1,0.13882678651960423,0.3312703736053008
17,ACR-186-TP2,-0.0291101097366059,0.8393094269119753
18,ACR-186-TP3,-0.010400983384164456,0.9422530627375644
19,ACR-186-TP4,0.05290982050710907,0.7123194631806469
20,ACR-225-TP1,0.0182015823026238,0.8991198770452815
21,ACR-225-TP2,0.16624313622433798,0.24364856538204172
22,ACR-225-TP3,0.007789956692050427,0.9567335659929838
23,ACR-225-TP4,0.055927996517491606,0.696677492609717
24,ACR-229-TP1,0.11449869615915759,0.4236823511821127
25,ACR-229-TP2,0.044643311569936714,0.7557487025609118
26,ACR-229-TP3,0.05575888038156382,0.6975507267505431
27,ACR-229-TP4,0.03185489782840597,0.8243870650814371
28,ACR-237-TP1,0.20067430491953908,0.15795512296661074
29,ACR-237-TP2,0.508554859442467,0.0001388076086588903
30,ACR-237-TP3,0.30695769922711663,0.028454315015162737
31,ACR-237-TP4,0.08451969348993271,0.5554023103468237
32,ACR-244-TP1,0.16260403913204186,0.2542680248015165
33,ACR-244-TP2,0.018454387893092835,0.8977261421008413
34,ACR-244-TP3,0.08281539851741691,0.5634314722761727
35,ACR-244-TP4,0.018648298248110116,0.8966573076557934
36,ACR-265-TP1,0.26636528107717244,0.05884342561915998
37,ACR-265-TP2,0.21404079623761543,0.13150285549002327
38,ACR-265-TP3,0.2257825783339106,0.11114130719098535
39,ACR-265-TP4,0.42109434840675114,0.00209003727453139
