,sample,correlation,p_value
0,ACR-139-TP1,0.19074729353894468,0.17999007703335712
1,ACR-139-TP2,0.1525377167033097,0.2852499801068023
2,ACR-139-TP3,0.22319889385004116,0.11540041712365688
3,ACR-139-TP4,0.13178320837911026,0.35662359257332016
4,ACR-145-TP1,-0.03720718071766304,0.7954695002048603
5,ACR-145-TP2,0.5461424422644061,3.390572662382004e-05
6,ACR-145-TP3,-0.041973280754715715,0.7699449282313439
7,ACR-145-TP4,-0.003625183476317003,0.9798577606702925
8,ACR-150-TP1,0.016389421213012557,0.9091190277405443
9,ACR-150-TP2,0.0607863782866314,0.6717613473464746
10,ACR-150-TP3,0.11012951317135539,0.4416981970016279
11,ACR-150-TP4,-0.017864248253101237,0.9009800922465468
12,ACR-173-TP1,0.05169386059985477,0.7186550120628518
13,ACR-173-TP2,0.17883512009252772,0.20925101216027134
14,ACR-173-TP3,0.014355564149534929,0.9203580189498067
15,ACR-173-TP4,0.04697913757627269,0.743394423756806
16,ACR-186-TP1,0.009100355900134395,0.949464196999879
17,ACR-186-TP2,0.01980175019968447,0.8903032955076691
18,ACR-186-TP3,-0.04994466887581566,0.7278017386090545
19,ACR-186-TP4,0.016097134111578874,0.9107331592626344
20,ACR-225-TP1,-0.05821239216572898,0.68492053403638
21,ACR-225-TP2,0.29733081938949096,0.034098419521264994
22,ACR-225-TP3,-0.009185977711606284,0.9489893500556055
23,ACR-225-TP4,-0.02809622261819635,0.8448360255928126
24,ACR-229-TP1,-0.049148235243160705,0.7319789529716385
25,ACR-229-TP2,0.0830369244950211,0.5623847749235437
26,ACR-229-TP3,-0.029843605485189904,0.8353159792150832
27,ACR-229-TP4,-0.04413872520790917,0.7584255679478326
28,ACR-237-TP1,-0.013983530468314867,0.9224155921735743
29,ACR-237-TP2,0.31251633493590897,0.025566498977218848
30,ACR-237-TP3,0.1858393002024752,0.1916669255458795
31,ACR-237-TP4,-0.04065492131890525,0.7769824544021404
32,ACR-244-TP1,0.027187401008161,0.8497962282159907
33,ACR-244-TP2,0.10859013673731174,0.4481454124707021
34,ACR-244-TP3,0.12303974113424083,0.38969479032166804
35,ACR-244-TP4,0.025649929727178406,0.8582005343516241
36,ACR-265-TP1,-0.045999253738331324,0.7485694785838379
37,ACR-265-TP2,0.07489954590626145,0.6014169825236994
38,ACR-265-TP3,0.02933547744026258,0.8380820023357942
39,ACR-265-TP4,-0.042670261204271705,0.7662317470683221
