,lncrna,gene,correlation,p_value,regulation_type,strength
28,lncRNA_333,FUN_016009,0.4466263735010387,0.0038651841785408876,activation,0.4466263735010387
29,lncRNA_12279,FUN_016009,-0.31370691708565873,0.048698831755542696,repression,0.31370691708565873
30,lncRNA_4640,FUN_016009,0.4001211373691898,0.010521315938602116,activation,0.4001211373691898
31,lncRNA_46514,FUN_016009,0.44618436527843414,0.0039047281810238054,activation,0.44618436527843414
32,lncRNA_30376,FUN_016009,0.3495557708084258,0.02703929071700657,activation,0.3495557708084258
33,lncRNA_55690,FUN_016009,0.33524780135942606,0.03445683795573548,activation,0.33524780135942606
34,lncRNA_7281,FUN_016009,0.37089759555736784,0.018467627952087687,activation,0.37089759555736784
35,lncRNA_16858,FUN_012883,0.4117661533231442,0.0082926832000933,activation,0.4117661533231442
36,lncRNA_44507,FUN_012883,0.3552796326630356,0.024468528391522974,activation,0.3552796326630356
37,lncRNA_12322,FUN_012883,0.332196084801516,0.03623723134320053,activation,0.332196084801516
38,lncRNA_42705,FUN_012883,0.3529430778370275,0.025492253249569472,activation,0.3529430778370275
