,mirna,gene,correlation,p_value,regulation_type,strength
0,Cluster_14532,FUN_001968,0.5304686813895485,0.0004299371878844616,activation,0.5304686813895485
1,Cluster_4026,FUN_001968,0.39585785521473,0.01145615877580368,activation,0.39585785521473
2,Cluster_14610,FUN_001968,0.45128519697145636,0.0034691488210694824,activation,0.45128519697145636
3,Cluster_15097,FUN_001968,0.4844744390707161,0.0015355987155262968,activation,0.4844744390707161
4,Cluster_1819,FUN_001968,0.3387756571244622,0.032488699574969214,activation,0.3387756571244622
5,Cluster_10452,FUN_001968,0.31324912713897396,0.04904639372186759,activation,0.31324912713897396
6,Cluster_17245,FUN_001968,0.4699751635853326,0.0022142207641674557,activation,0.4699751635853326
7,Cluster_2746,FUN_001968,0.3480936929639999,0.027730664476362677,activation,0.3480936929639999
8,Cluster_5516,FUN_001968,0.33676392010743633,0.03359936428846341,activation,0.33676392010743633
9,Cluster_16354,FUN_001968,0.5093503419894695,0.0007886678473026001,activation,0.5093503419894695
10,Cluster_3301,FUN_001968,0.6808954844260594,1.3314096956111207e-06,activation,0.6808954844260594
11,Cluster_2500,FUN_001968,0.5488589731875968,0.00024518032840862506,activation,0.5488589731875968
12,Cluster_17623,FUN_001968,0.36303023534356055,0.02131433791935955,activation,0.36303023534356055
13,Cluster_4754,FUN_001968,0.3504031072492588,0.02664518808447994,activation,0.3504031072492588
14,Cluster_9420,FUN_001968,0.3551425793262602,0.0245276172590569,activation,0.3551425793262602
15,Cluster_1865,FUN_001968,0.32973644826331716,0.03772635638744859,activation,0.32973644826331716
16,Cluster_2372,FUN_001968,0.37635884344938886,0.01668527448589154,activation,0.37635884344938886
17,Cluster_14605,FUN_001968,0.35133320000179485,0.0262180881491091,activation,0.35133320000179485
18,Cluster_14532,FUN_005324,0.3328071035544662,0.035874859977961374,activation,0.3328071035544662
19,Cluster_4026,FUN_005324,0.31551416716293795,0.0473460701951948,activation,0.31551416716293795
20,Cluster_15097,FUN_005324,0.3502096089088904,0.026734763548001333,activation,0.3502096089088904
21,Cluster_17245,FUN_005324,0.3189302385493258,0.04487196924972654,activation,0.3189302385493258
22,Cluster_5516,FUN_005324,0.3176971734168111,0.045752661265443535,activation,0.3176971734168111
23,Cluster_5517,FUN_005324,0.33454804189618315,0.03485860977003628,activation,0.33454804189618315
24,Cluster_17623,FUN_005324,0.34974113196156764,0.026952667777659856,activation,0.34974113196156764
25,Cluster_1865,FUN_005324,0.36983255442708785,0.018833220039476923,activation,0.36983255442708785
26,Cluster_2372,FUN_005324,0.35057501149244624,0.026565817896625814,activation,0.35057501149244624
27,Cluster_13327,FUN_038934,0.4070497960490277,0.00914092741393477,activation,0.4070497960490277
28,Cluster_1951,FUN_038934,0.3624627535442486,0.021533123879917373,activation,0.3624627535442486
29,Cluster_14532,FUN_013392,0.5487168956793795,0.0002462773330759979,activation,0.5487168956793795
30,Cluster_14610,FUN_013392,0.36852377940218584,0.01929077776271541,activation,0.36852377940218584
31,Cluster_15097,FUN_013392,0.45623030867686976,0.0030879954224469494,activation,0.45623030867686976
32,Cluster_10452,FUN_013392,0.3259031166419492,0.04014644945990468,activation,0.3259031166419492
33,Cluster_17245,FUN_013392,0.483807940712948,0.0015621990376955047,activation,0.483807940712948
34,Cluster_2746,FUN_013392,0.39840506008261434,0.010889470940660121,activation,0.39840506008261434
35,Cluster_5516,FUN_013392,0.4415348992202523,0.004342528332976573,activation,0.4415348992202523
36,Cluster_13327,FUN_013392,0.3329138745928369,0.035811843678634714,activation,0.3329138745928369
37,Cluster_16354,FUN_013392,0.5626113200312485,0.00015762675831223298,activation,0.5626113200312485
38,Cluster_3301,FUN_013392,0.4718097581346797,0.0021158678455189196,activation,0.4718097581346797
39,Cluster_2500,FUN_013392,0.3515749127917936,0.026108027672932205,activation,0.3515749127917936
40,Cluster_5517,FUN_013392,0.37443188079683537,0.017296851083491688,activation,0.37443188079683537
41,Cluster_17623,FUN_013392,0.38816000157729197,0.013323770326811292,activation,0.38816000157729197
42,Cluster_4754,FUN_013392,0.35867214330612834,0.023043185733608865,activation,0.35867214330612834
43,Cluster_9420,FUN_013392,0.45670827969446737,0.003053174878491793,activation,0.45670827969446737
44,Cluster_1865,FUN_013392,0.35788818138357537,0.02336625720504875,activation,0.35788818138357537
45,Cluster_2372,FUN_013392,0.48209597368701146,0.0016323990661537267,activation,0.48209597368701146
46,Cluster_13647,FUN_013392,0.3429352692817916,0.030287804796573257,activation,0.3429352692817916
47,Cluster_14605,FUN_013392,0.3512091376716314,0.02627472743228172,activation,0.3512091376716314
48,Cluster_4036,FUN_013392,0.4133701426459139,0.008020041213813894,activation,0.4133701426459139
49,Cluster_12081,FUN_035189,0.42012367737926576,0.006954881140768344,activation,0.42012367737926576
50,Cluster_12083,FUN_035189,0.38113479308379505,0.015247559379086778,activation,0.38113479308379505
51,Cluster_12087,FUN_035189,0.3717226859071068,0.0181885166965509,activation,0.3717226859071068
52,Cluster_16354,FUN_039088,-0.3570503142960203,0.02371570534520033,repression,0.3570503142960203
53,Cluster_14633,FUN_039088,0.3575596968429621,0.023502743183260996,activation,0.3575596968429621
54,Cluster_14532,FUN_033859,0.40452726835074954,0.009624361961497107,activation,0.40452726835074954
55,Cluster_14610,FUN_033859,0.36882760301373335,0.019183736309139388,activation,0.36882760301373335
56,Cluster_15097,FUN_033859,0.38534488394469435,0.014068378097788195,activation,0.38534488394469435
57,Cluster_17245,FUN_033859,0.318673179941128,0.045054426948639835,activation,0.318673179941128
58,Cluster_9786,FUN_033859,0.3739729046024714,0.017445269792542194,activation,0.3739729046024714
59,Cluster_5516,FUN_033859,0.36029636471745186,0.022385679206616747,activation,0.36029636471745186
60,Cluster_13327,FUN_033859,0.3746983854800374,0.01721116042133584,activation,0.3746983854800374
61,Cluster_16354,FUN_033859,0.34694058994173627,0.028286195105407537,activation,0.34694058994173627
62,Cluster_3301,FUN_033859,0.4404860403583256,0.004446993868114677,activation,0.4404860403583256
63,Cluster_5517,FUN_033859,0.3131323175318494,0.04913539676154417,activation,0.3131323175318494
