,mirna,gene,correlation,p_value,regulation_type,strength
64,Cluster_9420,FUN_033859,0.41606793761292693,0.00757883528022017,activation,0.41606793761292693
65,Cluster_2372,FUN_033859,0.4312251578899907,0.005468231940244685,activation,0.4312251578899907
66,Cluster_14605,FUN_033859,0.39778842000750203,0.011024416581268875,activation,0.39778842000750203
67,Cluster_1950,FUN_006952,0.34578274572983553,0.028853237138074524,activation,0.34578274572983553
68,Cluster_14532,FUN_006952,0.35481393281385437,0.02466979270202242,activation,0.35481393281385437
69,Cluster_1819,FUN_006952,0.5003817069471346,0.0010086658020392056,activation,0.5003817069471346
70,Cluster_14146,FUN_006952,0.316038886268073,0.04695904050571027,activation,0.316038886268073
71,Cluster_3109,FUN_006952,0.6064727047549153,3.3530252152137304e-05,activation,0.6064727047549153
72,Cluster_9786,FUN_006952,0.3347057566946869,0.03476772323785545,activation,0.3347057566946869
73,Cluster_4034,FUN_006952,0.3637800621215233,0.021028102994757263,activation,0.3637800621215233
74,Cluster_14692,FUN_006952,0.4345881649243599,0.005076066926634957,activation,0.4345881649243599
75,Cluster_5516,FUN_006952,0.3748806101387448,0.017152774690962942,activation,0.3748806101387448
76,Cluster_17623,FUN_006952,0.3438588215323692,0.029816210353535533,activation,0.3438588215323692
77,Cluster_9380,FUN_006952,0.32821008735136503,0.03867531386427137,activation,0.32821008735136503
78,Cluster_1865,FUN_006952,0.36845220438096277,0.01931606744436039,activation,0.36845220438096277
79,Cluster_14605,FUN_006952,0.3668536806879687,0.019888161823988816,activation,0.3668536806879687
80,Cluster_4752,FUN_036910,0.3141483593935732,0.04836556344018034,activation,0.3141483593935732
81,Cluster_13647,FUN_036910,-0.3304556023000451,0.03728588468823486,repression,0.3304556023000451
82,Cluster_13327,FUN_035378,0.32193737729591865,0.042781621049117764,activation,0.32193737729591865
83,Cluster_14532,FUN_019026,0.38869859614021157,0.013185188586212385,activation,0.38869859614021157
84,Cluster_4026,FUN_019026,0.34437540981607956,0.029555077442721702,activation,0.34437540981607956
85,Cluster_5603,FUN_019026,0.35612547968647784,0.024106465740553515,activation,0.35612547968647784
86,Cluster_14610,FUN_019026,0.32437366274838403,0.04114664242905127,activation,0.32437366274838403
87,Cluster_1819,FUN_019026,0.34641788231154386,0.028541034062140674,activation,0.34641788231154386
88,Cluster_17245,FUN_019026,0.3526686675686319,0.02561478155322803,activation,0.3526686675686319
89,Cluster_3109,FUN_019026,0.37514672289502554,0.017067810374889934,activation,0.37514672289502554
90,Cluster_9366,FUN_019026,0.3436123916378395,0.02994144847497783,activation,0.3436123916378395
91,Cluster_9786,FUN_019026,0.35235755664428126,0.025754288182116516,activation,0.35235755664428126
92,Cluster_14692,FUN_019026,0.3233230034958063,0.04184539220620503,activation,0.3233230034958063
93,Cluster_5516,FUN_019026,0.3701404387112349,0.01872691510462632,activation,0.3701404387112349
94,Cluster_13327,FUN_019026,0.35600758665487847,0.024156660580761144,activation,0.35600758665487847
95,Cluster_1832,FUN_019026,0.3218591347139173,0.04283499019009912,activation,0.3218591347139173
96,Cluster_5517,FUN_019026,0.349755203832837,0.02694610111353147,activation,0.349755203832837
97,Cluster_17623,FUN_019026,0.41706706538513727,0.007420818618181809,activation,0.41706706538513727
98,Cluster_4754,FUN_019026,0.3279481883718188,0.038840079406760895,activation,0.3279481883718188
99,Cluster_3227,FUN_019026,0.3985858537595599,0.010850174080208688,activation,0.3985858537595599
100,Cluster_9420,FUN_019026,0.4244577985598011,0.006337533413811304,activation,0.4244577985598011
101,Cluster_9380,FUN_019026,0.31949563962346095,0.04447275705924087,activation,0.31949563962346095
102,Cluster_1865,FUN_019026,0.43656510546809835,0.0048571118414821165,activation,0.43656510546809835
103,Cluster_2372,FUN_019026,0.4193797237450182,0.007065899941854752,activation,0.4193797237450182
104,Cluster_14605,FUN_019026,0.360959317033047,0.02212184325997491,activation,0.360959317033047
105,Cluster_5685,FUN_015113,0.3426750881889644,0.030421766116731974,activation,0.3426750881889644
106,Cluster_14165,FUN_015113,0.32626171420487055,0.03991483050767204,activation,0.32626171420487055
107,Cluster_14532,FUN_041549,0.33013723033663145,0.03748036195041737,activation,0.33013723033663145
108,Cluster_14610,FUN_041549,0.36331304697987876,0.021205998778095987,activation,0.36331304697987876
109,Cluster_15097,FUN_041549,0.3458344145776096,0.02882773419914153,activation,0.3458344145776096
110,Cluster_9366,FUN_041549,0.38679500696741737,0.013680530991814792,activation,0.38679500696741737
111,Cluster_5685,FUN_041549,0.38562888255321415,0.013991695667009444,activation,0.38562888255321415
112,Cluster_3301,FUN_041549,0.3907455838756356,0.012669594881571673,activation,0.3907455838756356
113,Cluster_5517,FUN_041549,0.3767805676091943,0.016553886978831842,activation,0.3767805676091943
114,Cluster_9420,FUN_041549,0.32987174217901455,0.037643167916471536,activation,0.32987174217901455
115,Cluster_1865,FUN_041549,0.3767906203065522,0.016550765747619198,activation,0.3767906203065522
116,Cluster_14605,FUN_041549,0.324961597096219,0.04075978992601077,activation,0.324961597096219
117,Cluster_13327,FUN_026166,0.33927363671729216,0.03221848036827754,activation,0.33927363671729216
118,Cluster_4754,FUN_026166,0.3224625381985902,0.042424804397573714,activation,0.3224625381985902
119,Cluster_4026,FUN_036153,0.41895776705866844,0.0071295437305994545,activation,0.41895776705866844
120,Cluster_5603,FUN_036153,0.40889994843105837,0.008799711897110204,activation,0.40889994843105837
121,Cluster_13327,FUN_036153,0.4597114479291474,0.002842149510002022,activation,0.4597114479291474
122,Cluster_1832,FUN_036153,0.3647262509247616,0.0206715033914822,activation,0.3647262509247616
123,Cluster_5517,FUN_036153,0.4236589220593832,0.006447629200666778,activation,0.4236589220593832
124,Cluster_9420,FUN_036153,0.36150414650350254,0.02190696441569957,activation,0.36150414650350254
125,Cluster_1865,FUN_036153,0.3162868138957781,0.046777061296262,activation,0.3162868138957781
126,Cluster_13647,FUN_036153,0.3993427996969442,0.010686956746681665,activation,0.3993427996969442
127,Cluster_14532,FUN_040094,0.5177229772921367,0.0006229744595337883,activation,0.5177229772921367
128,Cluster_15097,FUN_040094,0.40148533917461715,0.010236279576077931,activation,0.40148533917461715
129,Cluster_1819,FUN_040094,0.4335244496616708,0.005197382441637399,activation,0.4335244496616708
130,Cluster_10452,FUN_040094,0.5222219432491494,0.0005474424581650712,activation,0.5222219432491494
131,Cluster_17245,FUN_040094,0.46881771988683896,0.002278319439341752,activation,0.46881771988683896
132,Cluster_3109,FUN_040094,0.4238163093897919,0.006425809487048994,activation,0.4238163093897919
133,Cluster_1833,FUN_040094,-0.33346901204406065,0.035485659778486715,repression,0.33346901204406065
134,Cluster_2746,FUN_040094,0.3359633273471541,0.03404994763416189,activation,0.3359633273471541
135,Cluster_14692,FUN_040094,0.3253145417198622,0.04052898188838683,activation,0.3253145417198622
136,Cluster_5516,FUN_040094,0.4529270883102996,0.0033382780184105236,activation,0.4529270883102996
137,Cluster_16354,FUN_040094,0.47823805102797134,0.0018008937846998552,activation,0.47823805102797134
138,Cluster_3301,FUN_040094,0.3933745588473113,0.012032616663061137,activation,0.3933745588473113
139,Cluster_2500,FUN_040094,0.4919695132181006,0.0012628880157074013,activation,0.4919695132181006
140,Cluster_17623,FUN_040094,0.3929294910216212,0.012138496558209788,activation,0.3929294910216212
141,Cluster_1865,FUN_040094,0.4338012701758553,0.00516557189831121,activation,0.4338012701758553
142,Cluster_3226,FUN_040094,0.44226684045185344,0.004270898187038077,activation,0.44226684045185344
143,Cluster_13647,FUN_040094,0.44617561497564256,0.0039055145672760964,activation,0.44617561497564256
144,Cluster_14605,FUN_040094,0.32561019951817366,0.04033645603985093,activation,0.32561019951817366
145,Cluster_4036,FUN_040094,0.3633910716831826,0.021176190316585426,activation,0.3633910716831826
146,Cluster_17245,FUN_026151,-0.3130999121710903,0.049160111049838015,repression,0.3130999121710903
147,Cluster_16354,FUN_026151,-0.36928109399480713,0.01902489193076248,repression,0.36928109399480713
148,Cluster_9532,FUN_022177,-0.3141198655399444,0.048387019315508054,repression,0.3141198655399444
149,Cluster_1950,FUN_022177,-0.37274378263399266,0.0178480160347732,repression,0.37274378263399266
150,Cluster_5603,FUN_022177,-0.43382488433340993,0.005162866132953705,repression,0.43382488433340993
151,Cluster_14610,FUN_022177,-0.3394546472526466,0.03212071759578011,repression,0.3394546472526466
152,Cluster_14146,FUN_022177,-0.38534001131297585,0.014069696855834887,repression,0.38534001131297585
153,Cluster_17245,FUN_022177,-0.38257529234522736,0.014835038093527198,repression,0.38257529234522736
154,Cluster_1833,FUN_022177,-0.3588568358204874,0.02296761807937356,repression,0.3588568358204874
155,Cluster_9512,FUN_022177,-0.3503494303257747,0.026670011573938127,repression,0.3503494303257747
156,Cluster_9786,FUN_022177,-0.4808421633371867,0.0016855645535005736,repression,0.4808421633371867
157,Cluster_4034,FUN_022177,-0.38475881731510925,0.01422774745771185,repression,0.38475881731510925
158,Cluster_2746,FUN_022177,-0.3622086873162094,0.02163168243591973,repression,0.3622086873162094
159,Cluster_17173,FUN_022177,-0.3303358994683391,0.03735890813813654,repression,0.3303358994683391
160,Cluster_5516,FUN_022177,-0.39852136226305895,0.0108641778903984,repression,0.39852136226305895
161,Cluster_17192,FUN_022177,-0.4235752544249466,0.006459254649176338,repression,0.4235752544249466
162,Cluster_1836,FUN_022177,-0.37910195782385264,0.01584616930132038,repression,0.37910195782385264
163,Cluster_1832,FUN_022177,-0.43379100258716347,0.005166748766082979,repression,0.43379100258716347
164,Cluster_5517,FUN_022177,-0.40324129649793455,0.00987911983760649,repression,0.40324129649793455
165,Cluster_9706,FUN_022177,-0.5161251184400439,0.0006519589625579289,repression,0.5161251184400439
166,Cluster_14165,FUN_022177,-0.40233791299082494,0.01006151312267381,repression,0.40233791299082494
167,Cluster_17623,FUN_022177,-0.3867496364809127,0.01369252689302556,repression,0.3867496364809127
168,Cluster_4754,FUN_022177,-0.33212236099456083,0.03628115575854896,repression,0.33212236099456083
169,Cluster_3227,FUN_022177,-0.6499237943324363,5.668013324697277e-06,repression,0.6499237943324363
170,Cluster_9420,FUN_022177,-0.41503325008576025,0.0077455181871083495,repression,0.41503325008576025
171,Cluster_14633,FUN_022177,-0.32960171101883906,0.03780935168623163,repression,0.32960171101883906
172,Cluster_9380,FUN_022177,-0.5011785759448453,0.000987121702711287,repression,0.5011785759448453
173,Cluster_1865,FUN_022177,-0.32269045658531165,0.042270700522768885,repression,0.32269045658531165
174,Cluster_2372,FUN_022177,-0.4343737066023821,0.0051003260276777825,repression,0.4343737066023821
175,Cluster_14605,FUN_022177,-0.3658858150724934,0.020241399986812104,repression,0.3658858150724934
176,Cluster_17186,FUN_022177,-0.37284326441619814,0.017815130706318752,repression,0.37284326441619814
177,Cluster_4036,FUN_022177,-0.33116133127182273,0.036857728758743644,repression,0.33116133127182273
178,Cluster_14532,FUN_017203,0.45975018496058706,0.0028395132098820762,activation,0.45975018496058706
179,Cluster_5603,FUN_017203,0.38490333155997547,0.014188308344614063,activation,0.38490333155997547
180,Cluster_1819,FUN_017203,0.3654120012784924,0.02041623200439417,activation,0.3654120012784924
181,Cluster_14146,FUN_017203,0.3318349486517386,0.03645281116471163,activation,0.3318349486517386
182,Cluster_10452,FUN_017203,0.417020457225894,0.007428126354233051,activation,0.417020457225894
183,Cluster_3109,FUN_017203,0.49155234852475893,0.0012768547531321365,activation,0.49155234852475893
184,Cluster_5516,FUN_017203,0.3662100634710518,0.02012247979077724,activation,0.3662100634710518
185,Cluster_16354,FUN_017203,0.3666329382648597,0.019968267323844498,activation,0.3666329382648597
186,Cluster_1832,FUN_017203,0.33233419553580146,0.03615506247213496,activation,0.33233419553580146
187,Cluster_14165,FUN_017203,0.3515160373921083,0.02613480037779764,activation,0.3515160373921083
188,Cluster_17623,FUN_017203,0.39459953289222743,0.011745247892509079,activation,0.39459953289222743
189,Cluster_1865,FUN_017203,0.5878774827504855,6.641800342711992e-05,activation,0.5878774827504855
190,Cluster_3226,FUN_017203,0.48856022949359734,0.0013811050077687215,activation,0.48856022949359734
191,Cluster_13647,FUN_017203,0.32532760487078033,0.04052045969443798,activation,0.32532760487078033
192,Cluster_14532,FUN_004400,0.40440243705953305,0.009648842864600774,activation,0.40440243705953305
193,Cluster_5603,FUN_004400,0.33450334592009817,0.03488440216035933,activation,0.33450334592009817
194,Cluster_14610,FUN_004400,0.3314806926953962,0.03666530175568529,activation,0.3314806926953962
195,Cluster_15097,FUN_004400,0.3135069363639424,0.04885041562705093,activation,0.3135069363639424
196,Cluster_17245,FUN_004400,0.38328963015312567,0.014633996184832783,activation,0.38328963015312567
197,Cluster_2746,FUN_004400,0.35259108650866927,0.025649511172463935,activation,0.35259108650866927
198,Cluster_5516,FUN_004400,0.39659122250847134,0.011290485755706542,activation,0.39659122250847134
199,Cluster_13327,FUN_004400,0.39534298568644277,0.011573704727916074,activation,0.39534298568644277
200,Cluster_16354,FUN_004400,0.40492070958699183,0.00954755078899578,activation,0.40492070958699183
201,Cluster_5517,FUN_004400,0.34824931049232666,0.027656388848993237,activation,0.34824931049232666
202,Cluster_17623,FUN_004400,0.3262254693276597,0.03993819161133515,activation,0.3262254693276597
203,Cluster_9420,FUN_004400,0.36945933516448476,0.018962762191395238,activation,0.36945933516448476
204,Cluster_1865,FUN_004400,0.3233935668836219,0.04179816348485215,activation,0.3233935668836219
205,Cluster_2372,FUN_004400,0.38854390676762895,0.013224864796932585,activation,0.38854390676762895
206,Cluster_14605,FUN_004400,0.3373160436094067,0.033291483102501886,activation,0.3373160436094067
207,Cluster_4036,FUN_004400,0.4089952241384039,0.008782440311923687,activation,0.4089952241384039
208,Cluster_4026,FUN_028757,0.34050300196399136,0.03155929419631776,activation,0.34050300196399136
209,Cluster_15097,FUN_028757,0.3861006289643977,0.013865101956477577,activation,0.3861006289643977
210,Cluster_1951,FUN_028757,0.3630311839381122,0.02131397376119527,activation,0.3630311839381122
211,Cluster_3301,FUN_028757,0.36763029380939805,0.019608472176876893,activation,0.36763029380939805
212,Cluster_4036,FUN_028757,0.31752910569487697,0.04587377507675697,activation,0.31752910569487697
213,Cluster_14532,FUN_042582,-0.3141104240455415,0.04839413045403807,repression,0.3141104240455415
214,Cluster_17245,FUN_042582,-0.324087981549238,0.041335691312053564,repression,0.324087981549238
215,Cluster_16354,FUN_042582,-0.37249785561247045,0.017929530327817324,repression,0.37249785561247045
216,Cluster_1950,FUN_017699,0.3533924714697212,0.025292643480332767,activation,0.3533924714697212
217,Cluster_14532,FUN_017699,0.40546496478131416,0.009442161374783216,activation,0.40546496478131416
218,Cluster_14146,FUN_017699,0.36942614149602254,0.018974319630278774,activation,0.36942614149602254
219,Cluster_10452,FUN_017699,0.3878685865665431,0.013399265840139894,activation,0.3878685865665431
220,Cluster_3109,FUN_017699,0.45152767553576356,0.003449543937878732,activation,0.45152767553576356
221,Cluster_9366,FUN_017699,0.3374434123728062,0.03322078819367899,activation,0.3374434123728062
222,Cluster_9786,FUN_017699,0.3330213049748074,0.03574852969971402,activation,0.3330213049748074
223,Cluster_4034,FUN_017699,0.33376299894910255,0.03531390865018072,activation,0.33376299894910255
224,Cluster_5685,FUN_017699,0.4669070776152672,0.0023877018805167813,activation,0.4669070776152672
225,Cluster_14692,FUN_017699,0.36976837459473977,0.018855443442504713,activation,0.36976837459473977
226,Cluster_5516,FUN_017699,0.3343541650223172,0.03497060215131863,activation,0.3343541650223172
227,Cluster_16354,FUN_017699,0.3764568446283654,0.01665466426878906,activation,0.3764568446283654
228,Cluster_14165,FUN_017699,0.4678632485393778,0.002332398725100465,activation,0.4678632485393778
229,Cluster_9380,FUN_017699,0.3591282033751685,0.022856961795412127,activation,0.3591282033751685
230,Cluster_1865,FUN_017699,0.38928311564814366,0.013036175962344743,activation,0.38928311564814366
231,Cluster_4036,FUN_017699,0.4245827916155836,0.006320455425457177,activation,0.4245827916155836
232,Cluster_5603,FUN_008655,0.34263631038737474,0.03044177368395921,activation,0.34263631038737474
233,Cluster_14165,FUN_008655,0.36002997770978135,0.022492430382320756,activation,0.36002997770978135
234,Cluster_1865,FUN_008655,0.37819006406534417,0.01612106988807631,activation,0.37819006406534417
235,Cluster_3226,FUN_008655,0.32439620325655694,0.04113175626744567,activation,0.32439620325655694
236,Cluster_13647,FUN_008655,0.4448196657553162,0.004029053442260436,activation,0.4448196657553162
237,Cluster_3226,FUN_030129,-0.34219867266640946,0.030668327625004033,repression,0.34219867266640946
238,Cluster_9532,FUN_018961,0.34170308750452144,0.030926555247194745,activation,0.34170308750452144
239,Cluster_1950,FUN_018961,0.4674827852547796,0.0023542677288267266,activation,0.4674827852547796
240,Cluster_4026,FUN_018961,0.35558913537566006,0.02433552548790937,activation,0.35558913537566006
241,Cluster_5603,FUN_018961,0.3520636959085909,0.025886638122225806,activation,0.3520636959085909
242,Cluster_9366,FUN_018961,0.34352916507697134,0.029983842939718768,activation,0.34352916507697134
243,Cluster_9786,FUN_018961,0.42041672816329345,0.006911564269526325,activation,0.42041672816329345
244,Cluster_4034,FUN_018961,0.39145534524376613,0.012494866349717153,activation,0.39145534524376613
245,Cluster_5685,FUN_018961,0.5043703545582194,0.0009048688124349591,activation,0.5043703545582194
246,Cluster_14692,FUN_018961,0.37104234697172583,0.01841840296070954,activation,0.37104234697172583
247,Cluster_17173,FUN_018961,0.3291803063912385,0.038069890637359806,activation,0.3291803063912385
248,Cluster_13327,FUN_018961,0.5523461142768665,0.000219596760634502,activation,0.5523461142768665
249,Cluster_17192,FUN_018961,0.41149442274465536,0.008339650632150239,activation,0.41149442274465536
250,Cluster_1832,FUN_018961,0.5041470119244514,0.0009104194728622802,activation,0.5041470119244514
251,Cluster_5517,FUN_018961,0.3628709336181797,0.021375566433463434,activation,0.3628709336181797
252,Cluster_9706,FUN_018961,0.3615120512120837,0.0219038596984991,activation,0.3615120512120837
253,Cluster_14165,FUN_018961,0.3435574580041794,0.029969425360297338,activation,0.3435574580041794
254,Cluster_9420,FUN_018961,0.3137960611402017,0.048631383481281806,activation,0.3137960611402017
255,Cluster_9380,FUN_018961,0.3750815902084519,0.017088573078245142,activation,0.3750815902084519
256,Cluster_14605,FUN_018961,0.3424170716617755,0.030555094940472236,activation,0.3424170716617755
257,Cluster_17245,FUN_040336,0.3290488263524615,0.038151479127231526,activation,0.3290488263524615
258,Cluster_16354,FUN_040336,0.3807381160989248,0.015362844488425956,activation,0.3807381160989248
259,Cluster_1951,FUN_040336,0.35918408893170295,0.02283422847037601,activation,0.35918408893170295
260,Cluster_2500,FUN_040336,0.31334329603252165,0.04897473634600557,activation,0.31334329603252165
261,Cluster_4036,FUN_040336,0.34102728320266606,0.031281571271806446,activation,0.34102728320266606
262,Cluster_14532,FUN_036892,0.3185845922279759,0.04511744456267888,activation,0.3185845922279759
263,Cluster_5603,FUN_036892,0.3823207281934051,0.014907244290001459,activation,0.3823207281934051
264,Cluster_14146,FUN_036892,0.3527391279291763,0.025583273391671796,activation,0.3527391279291763
265,Cluster_17245,FUN_036892,0.3361727138826511,0.033931626406090244,activation,0.3361727138826511
266,Cluster_5516,FUN_036892,0.3470784405716197,0.028219302349141107,activation,0.3470784405716197
267,Cluster_13327,FUN_036892,0.3854918941263359,0.01402863958106798,activation,0.3854918941263359
268,Cluster_16354,FUN_036892,0.31460941627514166,0.04801945232980276,activation,0.31460941627514166
269,Cluster_1832,FUN_036892,0.3250792186159198,0.04068275288788865,activation,0.3250792186159198
270,Cluster_5517,FUN_036892,0.3937210231414104,0.011950738885133165,activation,0.3937210231414104
271,Cluster_3227,FUN_036892,0.3294868887408666,0.03788019736657117,activation,0.3294868887408666
272,Cluster_9420,FUN_036892,0.37829956506592005,0.01608784854273098,activation,0.37829956506592005
273,Cluster_1865,FUN_036892,0.31491472564285367,0.04779136067537191,activation,0.31491472564285367
274,Cluster_2372,FUN_036892,0.356843053646678,0.023802815294518425,activation,0.356843053646678
275,Cluster_13647,FUN_036892,0.4273656748913578,0.005950384090865641,activation,0.4273656748913578
276,Cluster_4036,FUN_036892,0.3882033783581295,0.013312563816689195,activation,0.3882033783581295
277,Cluster_9366,FUN_004207,0.3299846252361245,0.03757387393388046,activation,0.3299846252361245
278,Cluster_1833,FUN_004207,0.40993688024761143,0.008613294138890447,activation,0.40993688024761143
279,Cluster_5685,FUN_004207,0.44741176338156013,0.003795780349547131,activation,0.44741176338156013
280,Cluster_17192,FUN_004207,0.43495447058264497,0.0050348625672864715,activation,0.43495447058264497
281,Cluster_3109,FUN_030281,0.4709205616390335,0.0021630470930816357,activation,0.4709205616390335
282,Cluster_4026,FUN_025284,0.3307719529284503,0.037093459439529984,activation,0.3307719529284503
283,Cluster_1951,FUN_025284,0.33228717530442387,0.03618301999076826,activation,0.33228717530442387
284,Cluster_13647,FUN_025284,0.3522242378032213,0.025814262984145287,activation,0.3522242378032213
285,Cluster_9532,FUN_016470,0.47353831091530535,0.0020267378686477525,activation,0.47353831091530535
286,Cluster_1950,FUN_016470,0.3318206394404846,0.036461374586377215,activation,0.3318206394404846
287,Cluster_14532,FUN_016470,0.32491270586389903,0.04079184647143286,activation,0.32491270586389903
288,Cluster_4026,FUN_016470,0.37668753504910935,0.016582795919195818,activation,0.37668753504910935
289,Cluster_5603,FUN_016470,0.405261688106499,0.009481406727636792,activation,0.405261688106499
290,Cluster_14610,FUN_016470,0.4804343069826799,0.0017031853012417979,activation,0.4804343069826799
291,Cluster_15097,FUN_016470,0.33588845481476515,0.03409233905715952,activation,0.33588845481476515
292,Cluster_17245,FUN_016470,0.34273771448652446,0.030389476710798276,activation,0.34273771448652446
293,Cluster_9366,FUN_016470,0.39609545512925315,0.011402257960549196,activation,0.39609545512925315
294,Cluster_9786,FUN_016470,0.31997059825703567,0.04413963052662247,activation,0.31997059825703567
