,sample,correlation,p_value
0,ACR-139-TP1,-0.002862769731733237,0.718133918873571
1,ACR-139-TP2,-0.0019808902937018527,0.8027718958030957
2,ACR-139-TP3,-0.0031395976165975257,0.692209751728046
3,ACR-139-TP4,0.0010292955865332896,0.8967412261473636
4,ACR-145-TP1,-0.0011242182544249678,0.887279511109567
5,ACR-145-TP2,-0.002619255869038283,0.7412109194810477
6,ACR-145-TP3,-0.0019309256617605654,0.8076478706099537
7,ACR-145-TP4,-0.0009373588610290796,0.9059193409051098
8,ACR-150-TP1,-0.0002124369198163504,0.9786310810807924
9,ACR-150-TP2,-0.0019015162129823412,0.810521405883627
10,ACR-150-TP3,-0.0013127939831188637,0.8685314984679724
11,ACR-150-TP4,-0.001512570674778502,0.8487504380790655
12,ACR-173-TP1,-0.0005004437323711764,0.9496879919940232
13,ACR-173-TP2,-0.0018187171751148884,0.8186251297432611
14,ACR-173-TP3,-0.0006526418406147611,0.9344172644017131
15,ACR-173-TP4,-0.00040031213088238094,0.95974508826356
16,ACR-186-TP1,-0.0027384191522740395,0.7298876270486199
17,ACR-186-TP2,-0.0033084890552143,0.6765665451057635
18,ACR-186-TP3,-0.002037342726705346,0.7972720184242116
19,ACR-186-TP4,-0.001871375747432887,0.8134690185742135
20,ACR-225-TP1,-0.0009112074183169568,0.9085324111762867
21,ACR-225-TP2,0.0014932767329109459,0.8506569017699661
22,ACR-225-TP3,-0.0012154842777834433,0.8781973891601622
23,ACR-225-TP4,-0.0015732527195592865,0.8427601673936879
24,ACR-229-TP1,-0.0017641439976966578,0.8239769975595463
25,ACR-229-TP2,-0.0007003289102898822,0.9296372982441738
26,ACR-229-TP3,-0.0023432608653973968,0.7676492808744355
27,ACR-229-TP4,0.005915153026613468,0.45577597504333495
28,ACR-237-TP1,0.0018579224607132956,0.8147855501578215
29,ACR-237-TP2,-0.0007944732854095421,0.9202082438937542
30,ACR-237-TP3,-0.0021914858077839204,0.7823065564932915
31,ACR-237-TP4,0.0009035824656090221,0.9092944893869389
32,ACR-244-TP1,0.0003036710174131538,0.9694577005879788
33,ACR-244-TP2,0.0017731858125752016,0.8230897142753405
34,ACR-244-TP3,-0.0016973629220335571,0.8305371939454007
35,ACR-244-TP4,0.0003146302547545669,0.9683560220822113
36,ACR-265-TP1,0.0015117427685820437,0.8488322266683193
37,ACR-265-TP2,-0.0005370954827480419,0.9460086524677972
38,ACR-265-TP3,-0.0019708398039749338,0.803752098248138
39,ACR-265-TP4,0.0003044420359573902,0.9693801919359033
