Name,ACR-139-TP1,ACR-139-TP2,ACR-139-TP3,ACR-139-TP4,ACR-145-TP1,ACR-145-TP2,ACR-145-TP3,ACR-145-TP4,ACR-150-TP1,ACR-150-TP2,ACR-150-TP3,ACR-150-TP4,ACR-173-TP1,ACR-173-TP2,ACR-173-TP3,ACR-173-TP4,ACR-186-TP1,ACR-186-TP2,ACR-186-TP3,ACR-186-TP4,ACR-225-TP1,ACR-225-TP2,ACR-225-TP3,ACR-225-TP4,ACR-229-TP1,ACR-229-TP2,ACR-229-TP3,ACR-229-TP4,ACR-237-TP1,ACR-237-TP2,ACR-237-TP3,ACR-237-TP4,ACR-244-TP1,ACR-244-TP2,ACR-244-TP3,ACR-244-TP4,ACR-265-TP1,ACR-265-TP2,ACR-265-TP3,ACR-265-TP4
Cluster_12083,0,1,0,2,0,1,0,0,0,0,3,0,20,25,7,3,1,7,3,2,0,0,0,1,4,4,1,4,1,2,1,1,3,12,3,4,0,0,0,0
Cluster_12087,0,2,0,1,0,1,0,0,0,0,1,1,17,23,5,3,2,9,3,1,1,1,0,2,3,5,0,2,1,2,1,1,4,10,3,5,0,0,0,0
Cluster_13327,36,51,1,4,38,15,9,12,4,65,10,1,56,68,21,9,14,82,17,54,9,16,7,18,105,126,31,33,6,20,11,23,28,69,132,23,8,23,13,13
Cluster_13647,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,3,1,0,0,1,0
Cluster_14146,1328,847,63,209,352,611,195,286,425,989,893,259,961,558,531,188,74,377,122,506,361,1199,291,1753,1595,1403,228,611,505,688,521,956,550,1669,952,532,78,720,215,229
Cluster_14165,294,503,64,94,414,186,330,126,135,343,665,37,552,580,685,132,226,145,404,673,704,1604,990,2743,2056,476,1050,288,92,259,915,951,1104,1131,1261,657,107,363,183,155
Cluster_14532,9025,6141,408,1893,3337,8795,932,1262,2295,20120,7324,1358,5622,6760,2005,829,500,5116,1231,2665,1767,18193,1128,7057,7528,22789,3943,2963,2039,11388,6989,5288,3576,26847,12319,4974,673,12518,1811,1358
Cluster_14605,47,48,1,13,29,91,20,14,26,120,97,16,94,104,53,26,11,62,20,33,23,69,19,85,204,179,44,44,25,85,30,62,24,208,98,42,14,98,16,12
Cluster_14610,46,30,0,14,37,136,12,15,28,142,170,16,74,93,28,10,17,22,9,9,26,70,18,91,198,117,63,74,28,103,46,70,36,154,118,58,17,149,9,17
Cluster_14633,0,0,0,0,1,2,0,0,0,0,2,1,2,2,0,1,0,0,0,0,1,1,3,0,1,3,0,3,1,3,0,1,0,1,1,1,3,0,0,0
Cluster_14692,68,118,9,19,53,110,29,26,17,260,61,31,86,106,41,15,21,111,29,53,59,121,32,245,433,278,66,155,44,106,52,70,74,424,149,91,20,166,7,29
Cluster_15097,341,276,9,58,166,1393,34,97,138,1188,1004,115,568,479,103,56,57,293,46,92,156,1072,231,939,857,743,325,232,170,1199,282,338,95,1338,1031,170,76,2273,83,57
Cluster_16354,47323,57639,1150,6183,18795,152297,3799,5943,8762,127140,40538,4917,26405,61561,7126,3373,4033,27975,4403,9554,5750,125932,6824,23614,31042,112301,20005,7570,5718,48565,33376,15172,9073,135924,54158,12478,2904,45431,8999,3312
Cluster_17173,3298,4958,339,718,3698,4489,2013,2228,1953,7562,3299,2498,3825,3028,2786,1135,1179,3529,2451,3227,3155,5035,1964,8078,9965,7588,2566,5743,2904,2456,1887,4416,3558,5289,3038,4687,1533,4268,1371,1640
Cluster_17186,98,170,8,28,89,288,22,63,63,283,196,55,151,129,73,38,56,181,38,95,153,182,45,651,685,402,115,448,145,255,103,227,102,497,147,206,67,288,27,59
Cluster_17192,71400,130173,2962,9257,86493,119998,35183,36976,77310,165545,131025,53912,118262,63118,61754,25021,21304,64153,37844,57267,87930,57779,48564,233755,359136,182935,82366,168774,92904,82672,100036,232360,80675,74334,117468,108037,27426,61065,16937,34578
Cluster_17245,538,714,48,223,278,1193,76,101,204,939,893,566,409,515,125,58,113,507,70,138,210,522,240,805,864,882,388,603,235,1284,299,282,249,1408,273,279,86,848,54,48
Cluster_17623,27,19,1,2,5,28,3,3,5,39,44,9,18,20,15,5,3,13,5,10,7,11,6,31,36,56,11,33,11,31,23,30,19,83,42,33,2,20,7,9
